"Date";"close_price";"Signal"
"2016-10-20";392.2;"HOLD"
"2016-10-21";395.7;"HOLD"
"2016-10-24";395.25;"HOLD"
"2016-10-25";407.15;"HOLD"
"2016-10-26";399.7;"HOLD"
"2016-10-27";411.4;"HOLD"
"2016-10-28";404.65;"HOLD"
"2016-10-30";410.0;"HOLD"
"2016-11-01";403.95;"HOLD"
"2016-11-02";400.55;"HOLD"
"2016-11-03";392.25;"HOLD"
"2016-11-04";392.45;"HOLD"
"2016-11-07";390.1;"HOLD"
"2016-11-08";390.0;"HOLD"
"2016-11-09";379.3;"HOLD"
"2016-11-10";379.2;"HOLD"
"2016-11-11";360.55;"HOLD"
"2016-11-15";347.6;"HOLD"
"2016-11-16";359.2;"HOLD"
"2016-11-17";362.1;"HOLD"
"2016-11-18";362.35;"HOLD"
"2016-11-21";344.65;"HOLD"
"2016-11-22";349.25;"HOLD"
"2016-11-23";354.25;"HOLD"
"2016-11-24";359.2;"HOLD"
"2016-11-25";356.0;"HOLD"
"2016-11-28";353.8;"SELL"
"2016-11-29";358.6;"HOLD"
"2016-11-30";372.05;"HOLD"
"2016-12-01";367.7;"HOLD"
"2016-12-02";358.25;"HOLD"
"2016-12-05";357.15;"HOLD"
"2016-12-06";355.55;"HOLD"
"2016-12-07";359.8;"HOLD"
"2016-12-08";363.85;"HOLD"
"2016-12-09";363.0;"HOLD"
"2016-12-12";366.3;"HOLD"
"2016-12-13";381.95;"HOLD"
"2016-12-14";379.9;"HOLD"
"2016-12-15";378.15;"HOLD"
"2016-12-16";376.5;"HOLD"
"2016-12-19";374.95;"HOLD"
"2016-12-20";369.95;"HOLD"
"2016-12-21";370.4;"HOLD"
"2016-12-22";366.85;"HOLD"
"2016-12-23";370.35;"HOLD"
"2016-12-26";366.3;"HOLD"
"2016-12-27";352.4;"HOLD"
"2016-12-28";353.05;"HOLD"
"2016-12-29";363.3;"HOLD"
"2016-12-30";360.65;"HOLD"
"2017-01-02";366.15;"HOLD"
"2017-01-03";377.4;"HOLD"
"2017-01-04";374.35;"HOLD"
"2017-01-05";384.75;"HOLD"
"2017-01-06";385.4;"BUY"
"2017-01-09";384.35;"HOLD"
"2017-01-10";383.1;"HOLD"
"2017-01-11";380.95;"HOLD"
"2017-01-12";388.85;"HOLD"
"2017-01-13";383.55;"HOLD"
"2017-01-16";382.9;"HOLD"
"2017-01-17";379.2;"HOLD"
"2017-01-18";383.2;"HOLD"
"2017-01-19";388.55;"HOLD"
"2017-01-20";378.7;"HOLD"
"2017-01-23";380.3;"HOLD"
"2017-01-24";401.2;"HOLD"
"2017-01-25";393.0;"HOLD"
"2017-01-27";391.65;"HOLD"
